 AD
 F( 1 , 1 )=   3.0000000000000000
 F( 2 , 1 )=  -1.3333333333333333
 F( 3 , 1 )=   0.2122116050031087
 F( 4 , 1 )=   9.0000000000000000
 F( 1 , 2 )=  -1.5000000000000000
 F( 2 , 2 )=   0.6666666666666666
 F( 3 , 2 )=  -0.1061058025015544
 F( 4 , 2 )=  -4.5000000000000000
 F( 1 , 3 )=   0.5000000000000000
 F( 2 , 3 )=  -0.4444444444444444
 F( 3 , 3 )=   7.0737201667702906E-02
 F( 4 , 3 )=   6.0000000000000000
 F( 1 , 4 )=   0.3750000000000000
 F( 2 , 4 )=  -0.3333333333333333
 F( 3 , 4 )=   5.3052901250777176E-02
 F( 4 , 4 )=   4.5000000000000000
