 DD
 F( 1 , 1 )=   3.0000300000032403
 F( 2 , 1 )=  -1.3333066671929930
 F( 3 , 1 )=   0.2121667176920445
 F( 4 , 1 )=   9.0000000000000000
 F( 1 , 2 )=  -1.4999775002973301
 F( 2 , 2 )=   0.6666666666703674
 F( 3 , 2 )=  -0.1061159630439658
 F( 4 , 2 )=  -4.4999550004392290
 F( 1 , 3 )=   0.5000000000000000
 F( 2 , 3 )=  -0.4444414814984316
 F( 3 , 3 )=   7.0732214185129441E-02
 F( 4 , 3 )=   6.0000200000021602
 F( 1 , 4 )=   0.3750000000000000
 F( 2 , 4 )=  -0.3333316666738881
 F( 3 , 4 )=   5.3050095790826583E-02
 F( 4 , 4 )=   4.5000112500234195
