 Jacobian (computed by TLM)
 F( 1 , 1 )=   1.4234201145566105E-04
 F( 1 , 2 )=  -1.7066496740409810E-03
 F( 1 , 3 )=  -0.1109923056626805
 F( 1 , 4 )=  -0.2389437748721537
 F( 1 , 5 )=  -8.9597159217667421E-02
 F( 1 , 6 )=   0.3285409340898203
 F( 2 , 1 )=  -1.3261602675432429E-04
 F( 2 , 2 )=   1.7911433610617109E-03
 F( 2 , 3 )=   0.1286615131312545
 F( 2 , 4 )=   0.2356396672462549
 F( 2 , 5 )=   8.9946669665100121E-02
 F( 2 , 6 )=  -0.3255863369113541
 F( 3 , 1 )=   2.4725685255343920E-04
 F( 3 , 2 )=   3.7995011828591226E-03
 F( 3 , 3 )=   0.6566564309068417
 F( 3 , 4 )=   3.6708289912405094E-02
 F( 3 , 5 )=   7.5384383910012842E-02
 F( 3 , 6 )=  -0.1120926738224181
 F( 4 , 1 )=  -3.3056118872861861E-04
 F( 4 , 2 )=   4.7220461352649631E-04
 F( 4 , 3 )=  -0.1841101412630135
 F( 4 , 4 )=  -5.6918521604272965E-02
 F( 4 , 5 )=  -0.2735375610265242
 F( 4 , 6 )=   1.3304560826307961
 F( 5 , 1 )=  -2.1241830849304187E-04
 F( 5 , 2 )=   1.7581583114075910E-03
 F( 5 , 3 )=   6.6500202745054221E-02
 F( 5 , 4 )=   0.4566402955544376
 F( 5 , 5 )=   0.2599239006532995
 F( 5 , 6 )=   0.2834358037922626
 F( 6 , 1 )=   1.3574487430541391E-04
 F( 6 , 2 )=  -5.5759073123352670E-04
 F( 6 , 3 )=   2.9402484629489845E-02
 F( 6 , 4 )=   0.1500695565124592
 F( 6 , 5 )=   0.2534034150933051
 F( 6 , 6 )=   0.5965270283942334
