 Jacobian (computed by DD)
 F( 1 , 1 )=   1.4234906946411480E-04
 F( 1 , 2 )=  -1.7066434030800584E-03
 F( 1 , 3 )=  -0.1109928784943015
 F( 1 , 4 )=  -0.2389423325831669
 F( 1 , 5 )=  -8.9587413175086103E-02
 F( 1 , 6 )=   0.3285297450477103
 F( 2 , 1 )=  -1.3262117295206912E-04
 F( 2 , 2 )=   1.7911344971151565E-03
 F( 2 , 3 )=   0.1286620614799775
 F( 2 , 4 )=   0.2356382309184731
 F( 2 , 5 )=   8.9937098164891316E-02
 F( 2 , 6 )=  -0.3255753291055689
 F( 3 , 1 )=   2.4725799810513594E-04
 F( 3 , 2 )=   3.7994861439892666E-03
 F( 3 , 3 )=   0.6566571038609147
 F( 3 , 4 )=   3.6708444334529557E-02
 F( 3 , 5 )=   7.5384591253012070E-02
 F( 3 , 6 )=  -0.1120930355653372
 F( 4 , 1 )=  -3.3055088391063814E-04
 F( 4 , 2 )=   4.7221818760256824E-04
 F( 4 , 3 )=  -0.1841109782288791
 F( 4 , 4 )=  -5.6917597407567140E-02
 F( 4 , 5 )=  -0.2735225576519611
 F( 4 , 6 )=   1.3304401550595282
 F( 5 , 1 )=  -2.1241959839259542E-04
 F( 5 , 2 )=   1.7581414102406923E-03
 F( 5 , 3 )=   6.6500780607953572E-02
 F( 5 , 4 )=   0.4566384882558310
 F( 5 , 5 )=   0.2599119740698961
 F( 5 , 6 )=   0.2834495376742728
 F( 6 , 1 )=   1.3575274581004875E-04
 F( 6 , 2 )=  -5.5760553140139682E-04
 F( 6 , 3 )=   2.9402540523446957E-02
 F( 6 , 4 )=   0.1500697971831311
 F( 6 , 5 )=   0.2534026208488842
 F( 6 , 6 )=   0.5965275819679847
