 AD
 F( 1 , 1 )=   2.8512000000000000E+04
 F( 2 , 1 )=  -1.0008000000000000E+04
 F( 3 , 1 )=   1.1160000000000000E+03
 F( 4 , 1 )=  0.0000000000000000E+000
 F( 5 , 1 )=  0.0000000000000000E+000
 F( 6 , 1 )=  -1.0728000000000000E+04
 F( 7 , 1 )=   2.5920000000000000E+03
 F( 8 , 1 )=  0.0000000000000000E+000
 F( 9 , 1 )=  0.0000000000000000E+000
 F( 10 , 1 )=  0.0000000000000000E+000
 F( 11 , 1 )=   1.4760000000000000E+03
 F( 12 , 1 )=  0.0000000000000000E+000
 F( 13 , 1 )=  0.0000000000000000E+000
 F( 14 , 1 )=  0.0000000000000000E+000
 F( 15 , 1 )=  0.0000000000000000E+000
 F( 16 , 1 )=  0.0000000000000000E+000
 F( 17 , 1 )=  0.0000000000000000E+000
 F( 18 , 1 )=  0.0000000000000000E+000
 F( 19 , 1 )=  0.0000000000000000E+000
 F( 20 , 1 )=  0.0000000000000000E+000
 F( 21 , 1 )=  0.0000000000000000E+000
 F( 22 , 1 )=  0.0000000000000000E+000
 F( 23 , 1 )=  0.0000000000000000E+000
 F( 24 , 1 )=  0.0000000000000000E+000
 F( 25 , 1 )=  0.0000000000000000E+000
 F( 1 , 2 )=  -1.0578000000000000E+04
 F( 2 , 2 )=   2.7266000000000000E+04
 F( 3 , 2 )=  -9.9580000000000000E+03
 F( 4 , 2 )=   1.1360000000000000E+03
 F( 5 , 2 )=  0.0000000000000000E+000
 F( 6 , 2 )=   2.8020000000000000E+03
 F( 7 , 2 )=  -1.0668000000000000E+04
 F( 8 , 2 )=   2.5020000000000000E+03
 F( 9 , 2 )=  0.0000000000000000E+000
 F( 10 , 2 )=  0.0000000000000000E+000
 F( 11 , 2 )=  0.0000000000000000E+000
 F( 12 , 2 )=   1.3860000000000000E+03
 F( 13 , 2 )=  0.0000000000000000E+000
 F( 14 , 2 )=  0.0000000000000000E+000
 F( 15 , 2 )=  0.0000000000000000E+000
 F( 16 , 2 )=  0.0000000000000000E+000
 F( 17 , 2 )=  0.0000000000000000E+000
 F( 18 , 2 )=  0.0000000000000000E+000
 F( 19 , 2 )=  0.0000000000000000E+000
 F( 20 , 2 )=  0.0000000000000000E+000
 F( 21 , 2 )=  0.0000000000000000E+000
 F( 22 , 2 )=  0.0000000000000000E+000
 F( 23 , 2 )=  0.0000000000000000E+000
 F( 24 , 2 )=  0.0000000000000000E+000
 F( 25 , 2 )=  0.0000000000000000E+000
 F( 1 , 3 )=   1.3960000000000000E+03
 F( 2 , 3 )=  -1.0728000000000000E+04
 F( 3 , 3 )=   2.7216000000000000E+04
 F( 4 , 3 )=  -1.0008000000000000E+04
 F( 5 , 3 )=   1.1960000000000000E+03
 F( 6 , 3 )=  0.0000000000000000E+000
 F( 7 , 3 )=   2.7520000000000000E+03
 F( 8 , 3 )=  -1.0368000000000000E+04
 F( 9 , 3 )=   2.4320000000000000E+03
 F( 10 , 3 )=  0.0000000000000000E+000
 F( 11 , 3 )=  0.0000000000000000E+000
 F( 12 , 3 )=  0.0000000000000000E+000
 F( 13 , 3 )=   1.2960000000000000E+03
 F( 14 , 3 )=  0.0000000000000000E+000
 F( 15 , 3 )=  0.0000000000000000E+000
 F( 16 , 3 )=  0.0000000000000000E+000
 F( 17 , 3 )=  0.0000000000000000E+000
 F( 18 , 3 )=  0.0000000000000000E+000
 F( 19 , 3 )=  0.0000000000000000E+000
 F( 20 , 3 )=  0.0000000000000000E+000
 F( 21 , 3 )=  0.0000000000000000E+000
 F( 22 , 3 )=  0.0000000000000000E+000
 F( 23 , 3 )=  0.0000000000000000E+000
 F( 24 , 3 )=  0.0000000000000000E+000
 F( 25 , 3 )=  0.0000000000000000E+000
 F( 1 , 4 )=  0.0000000000000000E+000
 F( 2 , 4 )=   1.4560000000000000E+03
 F( 3 , 4 )=  -1.0778000000000000E+04
 F( 4 , 4 )=   2.7166000000000000E+04
 F( 5 , 4 )=  -1.0158000000000000E+04
 F( 6 , 4 )=  0.0000000000000000E+000
 F( 7 , 4 )=  0.0000000000000000E+000
 F( 8 , 4 )=   2.6820000000000000E+03
 F( 9 , 4 )=  -1.0068000000000000E+04
 F( 10 , 4 )=   2.3820000000000000E+03
